id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
3393,7.37,8.09,13.71,13.14,44.44,35.23,28.99,0.04,0.09,0.06,0.06,1.19,-16.98,319.28,0.47,0.55,-15.64,-5.24,0.5,1.58,2.19,0.4,0.51,-0.98,1.61,0.9,0.01,0.55,N
3394,15.31,16.46,12.32,8.12,8.72,41.7,49.42,0.08,0.08,0.06,0.05,3.7,-3.38,5.59,0.64,0.57,3.98,2.29,0.55,1.07,15.52,0.52,0.49,-1.51,1.45,0.51,0.02,0.62,N
3395,14.99,20.29,13.46,6.95,13.44,142.01,160.34,0.07,0.04,0.04,0.04,0.8,-3.82,-124.07,0.57,0.61,27.23,12.41,0.55,1.15,10.69,0.48,0.51,-1.09,1.74,0.45,0.02,0.56,N
3396,7.7,15.61,12.17,10.55,15.27,40.09,30.87,0.25,0.04,0.19,0.07,11.47,-350.39,2.79,0.91,0.55,7.3,-6.76,0.53,-0.69,-1.98,0.38,0.48,-0.67,1.35,0.76,0.02,0.65,N
3397,13.01,14.5,11.79,10.84,11.34,38.78,30.81,0.1,0.13,0.13,0.13,0.66,-3.5,1.46,1.11,0.57,2.02,-1.07,0.28,1.16,6.98,0.53,0.49,1.14,0.35,0.69,0.01,0.6,N
3398,4.56,29.09,9.15,8.91,15.35,27.38,27.95,0.05,0.04,0.08,0.06,1.91,-21.9,16.18,0.59,0.53,14.44,29.21,0.49,1.15,22.1,0.54,0.32,-1.3,1.29,0.56,0.02,0.57,N
3399,7.01,42.09,15.1,9.17,9.25,28.45,19.09,0.07,0.06,0.04,0.04,0.68,-2.3,9.29,1.36,0.55,5.12,-9.19,0.39,-1.04,2.11,0.38,0.59,-0.7,0.4,0.9,0.01,0.62,N
3400,1.09,27.88,14.78,11.21,12.02,29.9,27.09,0.07,0.04,0.05,0.08,1.65,-3.88,104.44,0.41,0.56,9.42,8.36,0.5,1.71,5.8,0.41,0.57,-1.17,2,0.95,0.02,0.6,N
3401,6.46,12.7,10.83,12.35,22.45,49.9,38.29,0.04,0.07,0.05,0.05,7.11,-5.71,-12.82,0.41,0.6,-259.74,6.7,0.54,-0.69,-2.57,0.41,0.54,-1.26,1,0.62,0.02,0.62,N
3402,-1.25,28.56,7.02,14.88,52.58,54.38,50.09,0.1,0.05,0.05,0.04,2.29,-8.05,2.92,1.24,0.58,5.1,-4.62,0.49,-2.91,14.62,0.43,0.64,-1.12,2.04,1.08,0.01,0.64,N
3403,6.32,23.54,9.31,8.91,17.52,78.34,41.99,0.07,0.03,0.06,0.05,0.81,7.86,4.97,0.81,0.46,20.38,8.38,0.5,0.4,-5.09,0.39,0.38,-0.92,1.39,0.05,0.02,0.62,N
3404,14.09,35.39,8.01,9.19,15.87,58.51,49.22,0.03,0.07,0.05,0.1,0.71,-4.02,-5.03,0.57,0.62,63.84,-4.21,0.53,1.01,10.18,0.55,0.5,-0.5,0.8,0.62,0.02,0.62,N
3405,4.9,12.85,9.25,22.09,31.89,76.58,217.3,0.04,0.05,0.05,0.04,0.33,49.14,3.45,0.86,0.43,4.12,-4.37,0.45,1,9.47,0.48,0.41,-0.2,0.48,0.87,0.02,0.65,N
3406,14.88,15.54,10,8.9,14.57,24.83,18.34,0.06,0.04,0.05,0.06,0.73,-7.39,7.43,1.08,0.58,10.61,-4.13,0.5,1.24,14.25,0.51,0.56,-0.91,0.8,0.86,0.02,0.62,N
3407,13.29,29.92,9.13,8.93,13.31,29.62,40.31,0.12,0.06,0.09,0.07,1.46,-6.22,-13.43,0.53,0.6,54.8,4.06,0.56,-0.8,-0.86,0.39,0.52,-0.9,1.59,0.96,0.02,0.61,N
3408,4.79,14.29,9.59,7.27,14.49,29.77,40.31,0.03,0.03,0.07,0.03,1.15,-40.81,6.28,1.19,0.6,15.23,-7.99,0.49,1.3,8.58,0.53,0.49,-0.48,1.08,0.19,0.01,0.58,N
3409,5.26,29.75,7.77,8.68,14.38,61.41,52.2,0.06,0.06,0.07,0.06,0.9,-5.38,3.61,0.92,0.59,3.55,8.36,0.57,0.68,17.9,0.65,0.63,-0.55,0.76,0.54,0.02,0.03,N
3410,6.17,19.87,7.27,10.14,88.16,20.2,23.18,0.03,0.08,0.07,0.04,1.03,-4.84,-15.25,0.87,0.56,89.76,-7.51,0.48,1.65,4.8,0.45,0.62,-0.79,0.7,0.6,0.02,0.63,N
3411,3.48,14.34,8.76,8.24,27.29,64.33,52.06,0.04,0.06,0.08,0.05,0.95,-4.58,21.98,0.83,0.58,10.76,-24.26,0.51,1.3,6.35,0.51,0.61,-0.83,1.61,0.24,0.02,0.6,N
3412,3.03,10.32,12.71,9.23,13.3,22.03,27.92,0.06,0.14,0.06,0.04,0.73,-6.44,10.83,0.6,0.64,15.43,-3.08,0.56,1.07,19.93,0.55,0.63,-0.57,1.36,0.6,0.01,0.52,N
3413,5.29,26.08,12.2,8.2,29.08,22.38,18.68,0.1,0.06,0.06,0.05,0.68,-43.72,-49.62,0.71,0.64,-364.96,-9.09,0.53,0.9,16.45,0.56,0.51,-0.97,1.43,0.61,0.02,0.57,N
3414,5.33,33.46,8.47,5.49,25.79,216.02,147.83,0.1,0.04,0.04,0.06,0.57,10.27,11.38,0.77,0.51,-18.24,-2.31,0.46,1.7,9.03,0.48,0.59,-0.86,0.7,0.7,0.01,0.35,N
3415,6.18,15.89,11.07,13.8,16.49,36.77,33.3,0.04,0.06,0.05,0.06,0.42,-15.1,8.98,0.72,0.5,28.45,-4.04,0.41,1.22,0.59,0.45,0.38,-1,2.28,0.69,0.02,0.03,N
3416,-0.3,30.1,9.52,9.73,38.18,24.24,25.08,0.04,0.04,0.07,0.05,1.09,-5.64,22.18,0.77,0.6,32.96,-5.64,0.51,1.48,7.89,0.51,0.54,-0.44,1.27,0.81,0.02,0.61,N
3417,9.45,96.98,6.39,7.24,21.77,71.15,133.15,0.04,0.17,0.05,0.06,0.57,263.84,-24.56,0.72,0.65,-15.67,-2.53,0.5,1.38,11.32,0.49,0.56,-0.76,1.48,0.84,0.01,0.55,N
3418,5.28,28.06,10.12,7.57,11.18,45.71,60.49,0.04,0.05,0.05,0.06,5.17,-2.67,3.08,1.09,0.53,3.32,3.38,0.57,1.71,14.58,0.52,0.45,-1.29,1.03,0.29,0.02,0.62,N
3419,6.4,27.36,10.97,8.27,22.55,39.7,47.71,0.05,0.04,0.04,0.04,3.54,-3.29,2.85,1.17,0.53,3.75,2.72,0.56,1.13,14.24,0.46,0.53,-1.51,0.97,1,0.02,0.67,N
3420,7.54,34.41,7.57,10.97,25.63,32.85,25.24,0.03,0.08,0.03,0.03,1.97,-18.29,10.4,0.9,0.63,25.95,34.84,0.54,1.13,13.3,0.53,0.58,-1.27,1.24,0.81,0.02,0.64,N
3421,4.81,14.69,11.54,7.55,47,122.94,204.88,0.08,0.08,0.06,0.06,1.81,-5.61,-35.49,0.7,0.54,20.92,-3.52,0.49,-2.09,5.81,0.42,0.52,-0.7,1.46,0.66,0.01,0.55,N
3422,5.26,41.83,8.04,14.02,8.33,69.69,56.27,0.03,0.08,0.06,0.09,0.74,-6.14,10.1,0.71,0.52,5.84,7.87,0.48,-0.36,-3.44,0.41,0.31,-0.77,1.67,0.03,0,0,N
3423,7.15,27.49,9.37,7.93,13.88,17.65,17.64,0.05,0.05,0.05,0.06,1.07,-1.18,7.04,0.88,0.56,3.13,6.27,0.55,1.72,16.8,0.49,0.63,-1.07,2.04,0.84,0.02,0.65,N
3424,7.86,12.53,8.4,8.13,11.58,37.14,33.74,0.05,0.05,0.03,0.04,42.23,-5.5,-3.57,0.51,0.48,-8.45,-18.05,0.48,1.46,4.97,0.47,0.54,-1.68,1.96,0.66,0.02,0.64,N
3425,6.17,15.82,7.12,9.01,14.86,69.01,88.14,0.05,0.21,0.05,0.09,0.91,12.61,1.88,1.45,0.52,11.44,-19.76,0.53,-0.65,6.51,0.36,0.47,-0.9,1.78,0.67,0.02,0.66,N
3426,4,26.42,6.77,7.83,12.11,49.74,69.35,0.04,0.03,0.09,0.05,38.56,-17.89,-7.81,0.55,0.56,-10.61,-1.55,0.5,0.9,7.77,0.45,0.55,-1.21,1.04,0.8,0.01,0.42,N
3427,5.6,14.63,6.71,6.13,27.02,207.37,265.45,0.05,0.03,0.04,0.04,0.54,4.57,6.62,1.16,0.46,-346.44,-23,0.44,1.28,7.84,0.5,0.63,-1.04,0.4,0.53,0.02,0.51,N
3428,7.22,18.26,9.19,7.68,12.67,92.92,63.25,0.04,0.04,0.05,0.04,1.92,-2.59,-5.08,0.71,0.61,-51.44,-24.99,0.46,-0.2,-4.96,0.32,0.5,-1.52,2.07,0.65,0.02,0.65,N
3429,4.61,12.19,8.72,10.13,13.25,69.23,41.55,0.03,0.04,0.09,0.05,1.55,-10.92,9.97,0.62,0.61,11.83,5.94,0.53,1.25,0.98,0.44,0.42,-1.06,0.88,0.46,0.02,0.62,N
3430,-1.61,29.62,8.6,8.61,13.46,96.61,106.89,0.04,0.1,0.05,0.04,1.27,-20.38,30.85,0.41,0.56,-12.69,-3.06,0.55,-0.88,-0.6,0.38,0.57,-0.86,1.26,0.39,0.01,0.45,N
3431,6.58,9.13,8.19,7.75,22.26,38.71,43.27,0.05,0.06,0.08,0.07,1.14,-2.5,1.32,0.95,0.59,1.46,-4.39,0.48,0.44,46.56,0.66,0.57,0.25,0.64,1.02,0.01,0.58,N
3432,4.93,19.14,14.43,8.92,27,39.46,35.13,0.16,0.04,0.06,0.05,7.16,-13.02,-64.49,0.63,0.61,-26.54,-6.81,0.5,1.43,5.33,0.49,0.53,-0.59,1.35,0.65,0.01,0.52,N
3433,6.13,25.09,12.35,8.74,22.11,30.01,40.51,0.09,0.03,0.14,0.06,2.27,-4.38,1.86,0.86,0.6,3.62,6.25,0.5,-1.26,2.93,0.41,0.54,-1.35,2.29,0.77,0.02,0.62,N
3434,3.91,24.27,8.81,6.1,16.72,160.96,85.63,0.04,0.06,0.06,0.07,6.57,-41.33,-8.67,0.69,0.51,-17.6,18.6,0.53,-0.6,-1.32,0.39,0.45,-1.16,0.9,1.2,0.02,0.65,N
3435,4.83,20.9,10.15,14.82,26.62,52.64,95.43,0.04,0.03,0.06,0.05,0.48,-12.63,3.42,1.18,0.52,9.97,-9.91,0.52,1.3,6.87,0.44,0.61,-0.61,1.08,0.63,0.01,0.61,N
3436,4.84,39.85,7.45,9.94,13.97,37.92,27.01,0.08,0.06,0.04,0.04,1.86,-9.72,21.56,0.66,0.55,21.44,3.79,0.52,1.03,5.15,0.54,0.42,-1.75,1.75,0.4,0.02,0.62,N
3437,-2.28,11.05,6.48,8.65,16.5,31.17,39.58,0.05,0.13,0.05,0.04,1.09,60.42,7.64,0.62,0.59,619.52,-4.82,0.57,1.33,11.44,0.5,0.55,-0.93,0.96,0.85,0.02,0.55,N
3438,16.34,13.24,7.46,7.07,18.28,34.04,27.66,0.04,0.04,0.05,0.06,2.3,-3.26,9.7,0.75,0.56,9.45,-6.13,0.54,1.93,10.18,0.44,0.51,-1.14,0.62,0.55,0.01,0.51,N
3439,-0.2,15.3,8.21,13.08,24.59,41.39,47.19,0.08,0.05,0.14,0.07,0.99,-2.81,4.6,0.97,0.6,4.17,22.83,0.57,-1.35,6.25,0.38,0.52,-0.57,0.95,0.74,0.02,0.63,N
3440,5.27,12.58,14.54,8.94,27.42,51.65,61.16,0.07,0.06,0.07,0.06,0.8,-20.13,-8.82,0.37,0.54,-17.29,-4.23,0.53,1.72,3.65,0.44,0.56,-0.87,1.17,0.57,0.02,0.55,N
3441,6.33,15.28,6.68,9.34,21.43,36.65,36.89,0.08,0.06,0.08,0.14,64.15,-5.17,12.16,1.22,0.44,10.13,6.39,0.34,1.11,4.65,0.54,0.58,-0.25,1.59,0.53,0.01,0.68,N
3442,6.63,23.83,10.78,10.14,64.84,28.8,26.1,0.06,0.06,0.04,0.03,0.4,-6.89,7.29,0.72,0.54,7.04,-113.65,0.43,1.63,8.22,0.47,0.67,-0.45,1.56,0.32,0.02,0.03,N
3443,5.37,39.1,15.47,13.01,70.13,49.32,31.95,0.06,0.07,0.05,0.07,0.25,-2.33,1.49,1.11,0.56,1.17,-4.67,0.43,0.98,6.45,0.44,0.43,0.65,0.46,0.79,0.02,0.62,N
3444,6.1,29.74,7.68,7.69,29.01,32.93,51.85,0.13,0.04,0.05,0.09,0.71,-10.25,-7.34,0.61,0.59,-56.54,-7.74,0.51,1.24,7.77,0.5,0.53,-0.59,0.74,0.29,0.03,0.03,N
3445,5.16,18.24,8.6,9.78,13.71,57.77,36.73,0.05,0.07,0.04,0.04,1.13,-9.16,11.72,0.33,0.55,38.54,4.67,0.56,-0.2,-6.3,0.38,0.47,-0.88,1.42,0.85,0.01,0.57,N
3446,7.42,13.84,6.53,12.89,12.84,26.63,33.13,0.04,0.03,0.07,0.03,1.17,-6.6,5.19,1.12,0.55,12.07,-8.94,0.5,2.75,7.91,0.47,0.54,-1.35,0.64,0.42,0.01,0.45,N
3447,15.13,8.67,9,7.64,9.94,22.37,19.59,0.03,0.08,0.04,0.03,1.31,-0.62,0.56,0.16,0.44,0.48,0.95,0.66,3.18,7.11,0.35,-9999,0.25,1.39,-0.48,0.01,0.43,N
3448,6.52,21.73,11.19,7.82,15.91,30.54,54.96,0.05,0.06,0.07,0.04,1.77,-4.31,10.41,0.85,0.55,8.85,-5.34,0.43,1.37,1.91,0.44,0.52,-1.27,0.61,0.37,0.01,0.52,N
3449,-0.74,15.61,26.46,8.09,17.2,35.31,47.86,0.05,0.06,0.06,0.16,0.49,11.61,4.51,1.05,0.61,29.72,6.68,0.57,2,4.9,0.43,0.57,-0.63,1.11,0.46,0.02,0.03,N
3450,5.69,11.08,6.94,8.92,17.8,30.49,45.64,0.04,0.05,0.05,0.04,0.82,2.79,5.74,0.53,0.43,-7.03,-8.37,0.5,1.26,3.62,0.41,0.5,-0.99,1.14,0.79,0.02,0.64,N
3451,13.89,9.36,9.98,10.36,13.52,64.69,52.71,0.08,0.04,0.06,0.06,1.51,-2.01,3.86,1.24,0.58,2.89,4.85,0.52,-0.51,-2.47,0.39,0.52,-1,1.05,0.3,0.02,0.6,N
3452,9.75,8.51,8.29,8.85,19.55,21.94,22.62,0.04,0.05,0.05,0.04,1.01,-1.22,2.89,1.04,0.52,1.87,7.19,0.45,-1.86,3.33,0.39,0.42,-0.36,1.7,0.36,0.02,0.62,N
3453,15.27,40.73,8.6,6.9,23.14,238.69,83.53,0.05,0.06,0.04,0.05,2.73,-17.38,26.9,0.71,0.48,-9.92,3.88,0.52,-0.94,0.07,0.33,0.45,-0.96,1.62,0.24,0.01,0.61,N
3454,13.38,20.18,7.82,12.91,17.79,71.1,83.88,0.07,0.04,0.03,0.12,1.91,-1.84,7.54,1.08,0.64,4.38,32.43,0.53,1.24,11.43,0.48,0.64,-0.59,1.5,0.03,0.01,0.53,N
3455,4.76,17.29,12.09,6.43,27.4,43.04,40.14,0.38,0.13,0.13,0.13,1.8,-26.01,2.88,-2.14,0.57,10.51,-0.8,0.28,-0.86,-0.31,0.41,0.64,1.16,0.41,0.74,0.01,0.56,N
3456,-0.24,23.8,8.64,7.93,20.18,36.81,39.58,0.04,0.05,0.04,0.05,1.74,-4.75,-6.74,0.62,0.6,-118.41,-4.59,0.5,1.08,8.08,0.53,0.48,-0.75,1.01,0.45,0.01,0.57,N
3457,5.69,12.5,6.6,6.4,21.83,40.22,43.82,0.03,0.04,0.05,0.09,1.19,59.13,-4.84,0.44,0.5,-6.21,-3.11,0.47,-1.04,2.74,0.34,0.48,-1.31,0.35,0.66,0.02,0.61,N
3458,6.31,17.89,8.81,8.43,11.77,47.3,47.46,0.05,0.06,0.05,0.04,8.27,-11.13,9.11,0.66,0.59,16.95,5.03,0.48,1.37,2.46,0.45,0.46,-1.39,1.4,0.47,0.02,0.59,N
3459,6.21,13.71,7.2,7.14,16.7,30.33,21.33,0.07,0.08,0.05,0.05,7.2,-4.01,14.19,0.78,0.63,8.55,-4.08,0.5,0.85,5.96,0.44,0.48,-1.77,1.52,0.91,0.01,0.64,N
3460,0.03,15.7,28.95,9.38,52.16,22.75,21.95,0.04,0.09,0.06,0.12,1,-2.64,8.29,1.17,0.54,5.22,-7.57,0.55,-1.69,5.1,0.41,0.62,-0.95,1.23,0.55,0.01,0.49,N
3461,4.75,21.43,9.7,12.33,26.53,33.63,34.32,0.04,0.04,0.07,0.07,0.89,13.94,3.21,0.77,0.55,-705.74,-6.17,0.51,1.39,7.08,0.42,0.59,-0.78,0.84,0.55,0.02,0.61,N
3462,4.84,13.65,5.73,7.3,36.78,26.76,24.25,0.04,0.04,0.04,0.06,0.75,-20.49,-2.75,0.63,0.57,-5.47,-1.95,0.5,0.64,28.83,0.7,0.52,-0.85,0.99,0.72,0.02,0.61,N
3463,3.8,12.25,8.38,8.19,28.4,27.43,30.12,0.05,0.11,0.04,0.04,0.75,-5.27,11.34,0.81,0.59,9.22,5.47,0.54,1.6,5.76,0.46,0.47,-0.94,1.15,0.48,0.02,0.02,N
3464,6.43,15.4,10.2,12.08,14.08,90.13,61.84,0.12,0.05,0.04,0.04,2.33,-5.54,14.76,0.85,0.57,29.87,9.5,0.52,1.34,9.81,0.51,0.57,-1.3,1.91,0.61,0.01,0.63,N
3465,5.85,11.03,8.65,7,29.13,45.77,24.98,0.04,0.04,0.07,0.04,0.76,-8.96,3.08,1.32,0.55,6.18,-33.82,0.42,-0.67,-0.96,0.33,0.54,-0.65,0.32,0.28,0.02,0.63,N
3466,4.82,42.35,19.17,7.62,12.87,87.14,215.06,0.06,0.04,0.04,0.05,0.8,21.8,4.87,0.97,0.52,16.77,-5.3,0.49,1.18,9.56,0.57,0.46,-0.88,0.67,0.66,0.01,0.52,N
3467,6.21,28.59,6.94,8.3,25.86,19.29,17.59,0.07,0.08,0.04,0.04,1.16,23.48,7.1,0.59,0.51,33.71,-3.09,0.51,1.19,12.57,0.5,0.52,-1.06,1.28,0.96,0.01,0.52,N
3468,5.06,17.87,10.46,10.38,13.63,78.41,38.97,0.04,0.07,0.04,0.04,1.26,-5.21,6.63,0.89,0.63,28.53,7.83,0.5,-0.32,-3.76,0.35,0.51,-0.94,1.86,0.27,0.02,0.6,N
3469,6.68,16.9,11.6,13.44,45.65,43.18,30.61,0.05,0.05,0.04,0.04,0.86,2.13,-10.14,0.5,0.45,-3.23,-2.4,0.51,-0.58,-2.87,0.36,0.47,-0.74,0.95,0.67,0.02,0.68,N
3470,4.83,11.35,13.28,9.19,14.59,44.74,29.59,0.06,0.13,0.13,0.13,2.09,6.97,-11.59,1.76,0.55,-5.55,-1.03,0.38,1.06,6.77,0.56,0.57,0.24,1.05,0.89,0.02,0.7,N
3471,5.11,30.52,5.85,8.36,22.26,440.66,310.54,0.04,0.06,0.04,0.04,0.58,4.55,-28.22,0.63,0.5,-5.15,-5.91,0.45,-0.66,-2.18,0.41,0.56,-0.81,0.73,0.47,0.02,0.61,N
3472,6.93,12.77,14.08,7.53,42.95,24.79,26.07,0.03,0.16,0.05,0.07,0.32,-3.35,9.01,0.9,0.48,10.84,-2.34,0.28,0.18,-5.43,0.39,0.41,-0.23,1.49,0.46,0.01,0.66,N
3473,3.33,10.69,9.74,9.07,18.08,19.4,17.77,0.08,0.15,0.09,0.04,1.53,-2.53,1.08,-0.06,0.49,1.65,8.56,0.42,1.9,14.8,0.39,0.58,-1.33,2.06,0.21,0.01,0.43,N
3474,6.11,13.61,8.14,11.89,18.9,20.6,18.99,0.06,0.03,0.06,0.07,2.96,-2.17,1.37,1.09,0.51,1.59,1,0.51,1.43,7.34,0.45,0.49,-0.85,0.44,0.52,0.02,0.6,N
3475,14.65,49.58,17.72,11.44,30.19,116.59,60.41,0.22,0.06,0.05,0.05,0.41,-21.78,-10.58,0.71,0.52,-12.28,-1.76,0.45,-1.1,-1.27,0.39,0.61,-0.07,1.24,0.6,0.01,0.51,N
3476,7.33,15.16,10.02,16.34,15.46,53.23,37.41,0.04,0.05,0.04,0.05,1.82,-13.57,6.9,1.01,0.6,10.43,4.94,0.48,1.32,0.05,0.46,0.42,-1.36,2.25,0.14,0.02,0.62,N
3477,6.61,51.24,7.46,10.03,23.05,45.49,38.5,0.06,0.08,0.05,0.05,0.67,3.18,57.48,0.38,0.5,-11.4,-6.58,0.52,1.07,5.46,0.36,0.52,-0.5,0.89,0.39,0.02,0.63,N
3478,7.31,39.93,7.02,28.65,34.19,140.88,117.45,0.03,0.04,0.04,0.05,0.67,-4.23,-4.75,0.26,0.59,-158.1,-15.01,0.49,0.99,17.41,0.56,0.5,-1.25,0.94,0.52,0.02,0.59,N
3479,5.68,61.36,12.22,8.72,31.51,225.55,269.27,0.14,0.06,0.05,0.03,0.4,3.95,5.41,0.32,0.58,-17.27,-5.94,0.58,-0.9,0.65,0.37,0.51,-0.54,1.17,0.78,0.01,0.55,N
3480,6.03,17.6,7.29,9.64,11.72,98.5,74.28,0.04,0.04,0.06,0.04,0.74,-165.36,5.43,0.92,0.54,15.43,-17.36,0.54,1.57,4.97,0.44,0.51,-0.74,0.92,0.75,0.01,0.62,N
3481,-0.78,35.81,14.92,10.11,10.44,28.34,37.48,0.04,0.08,0.3,0.06,1.19,53.04,18.58,1.3,0.52,-20.36,-1.49,0.49,-1.38,2.53,0.41,0.57,-0.43,1.18,0.86,0.01,0.52,N
3482,6.89,50.6,7.39,8.51,20.65,25.12,21.74,0.08,0.1,0.31,0.19,2.43,-2.58,17.38,1,0.55,15.85,-8.68,0.51,-1.09,6.46,0.34,0.68,-1,1.12,0.89,0.02,0.61,N
3483,5.47,13.4,10.25,7.5,10.86,41.75,83.79,0.05,0.04,0.09,0.16,0.34,14.22,-8.58,1.15,0.43,-12.8,-1.45,0.42,-0.05,23.13,0.92,0.31,-0.3,1.17,0.37,0.01,0.54,N
3484,6.32,14.4,9.02,7.3,34.98,29.47,30.46,0.07,0.04,0.07,0.05,1.01,-12.68,8.2,1.3,0.52,17.83,-6.38,0.49,1.63,1.43,0.42,0.61,-0.85,0.59,0.64,0.02,0.63,N
3485,16.8,9.12,12.26,8.62,34.23,33.32,113.97,0.07,0.04,0.08,0.08,0.91,-3.61,3.75,0.78,0.54,3.78,-75.66,0.55,1.02,3.5,0.43,0.54,-0.81,1.95,1.1,0.01,0.47,N
3486,6.53,13.46,11.36,13.81,38.31,30.57,31.8,0.06,0.04,0.04,0.05,0.59,-48.74,-1.51,0.04,0.58,-2.52,-1.73,0.45,-0.79,-1.12,0.36,0.53,-0.98,1.09,0.58,0.01,0.47,N
3487,8.79,21.05,6.97,8.05,28.17,79.29,91.08,0.04,0.04,0.05,0.04,1.15,-7.36,2.66,1.09,0.56,5.41,-77.1,0.54,1.58,14.45,0.4,0.59,-1.27,1.43,0.44,0.03,0.03,N
3488,5.05,27.78,7.69,14.55,32.69,55.8,67.23,0.05,0.04,0.04,0.04,1.59,-6.35,2.85,1.42,0.53,4.58,19.29,0.44,1.31,8.99,0.45,0.61,-1.19,0.28,0.66,0.02,0.63,N
3489,4.01,100.64,11.36,24.8,12.02,418.96,422.1,0.04,0.06,0.06,0.05,0.24,-2.91,1.95,2.03,0.32,1.79,28.3,0.29,0,-1.66,0.09,0.36,0.18,1.26,-2.36,0,0,N
3490,16.91,18.54,14.15,6.52,12.16,37.87,41.58,0.15,0.05,0.03,0.03,0.57,8.49,4.5,1.94,0.55,27.71,-2.46,0.46,1.31,18.76,0.54,0.61,-0.27,0.83,0.8,0.01,0.58,N
3491,13.23,28.39,8.07,9.23,17.43,38.79,53.14,0.04,0.05,0.03,0.04,0.44,-3.53,3.94,1.39,0.57,4.01,-620.12,0.41,-0.53,-1.65,0.38,0.51,-0.28,0.41,0.3,0.01,0.55,N
3492,4.48,15.98,10.23,9.9,17.33,72.83,39.69,0.54,0.05,0.04,0.04,0.42,-2.95,1.07,1.8,0.34,1.07,14.57,0.38,-0.39,-2.54,0.38,0.44,0.89,0.51,0.77,0.01,0.44,N
3493,5.3,15.98,12.41,8.35,11.31,45,42.91,0.07,0.07,0.05,0.05,0.62,-2.48,19.04,0.49,0.52,11.44,-7.23,0.53,1.18,9.26,0.5,0.52,-0.71,1.68,0.85,0.02,0.65,N
3494,5.55,19.51,9.36,7.21,11.76,71.39,59.75,0.04,0.11,0.04,0.05,1.88,-9.03,9.8,1.06,0.57,15.72,-4.87,0.53,2.17,9.47,0.46,0.58,-0.9,1.48,0.57,0.02,0.59,N
3495,9.61,13.63,7.18,9.37,19.13,30.14,35.21,0.03,0.05,0.05,0.05,1.66,-3.93,9.72,0.61,0.57,8.79,-16.15,0.51,1.8,9.02,0.46,0.62,-0.97,1.12,0.56,0.02,0.58,N
3496,4.86,28.06,9.79,12.6,66.88,41.46,47.55,0.06,0.04,0.05,0.04,0.54,-6.48,4.8,1.16,0.54,6.18,-6.16,0.53,0.93,26.13,0.64,0.56,-0.48,1.2,0.64,0.02,0.63,N
3497,6.02,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.06,0.09,0.06,0.07,0.25,4.21,1.17,0.07,5.63,-0.66,0.22,-2.05,3.45,0.45,1,1.41,0.14,0.83,0.02,0.59,N
3498,3.52,28.09,11.07,12.36,28.39,46.84,41.19,0.03,0.05,0.04,0.06,0.72,-3.48,3.87,1.71,0.56,4.3,17.37,0.47,1.32,7.23,0.39,0.6,-0.72,0.33,0.15,0.01,0.63,N
3499,5.24,18.5,9.43,11.24,53.98,26.63,38.46,0.06,0.03,0.07,0.05,6.47,-7.28,2.41,0.84,0.55,4.39,1.2,0.54,-1.57,5.68,0.41,0.54,-0.95,1.11,0.46,0.02,0.55,N
3500,5.04,45.85,9.11,11.24,18.66,90.38,125.32,0.04,0.07,0.08,0.09,1.83,-3.78,2.05,0.52,0.52,2.77,4.94,0.34,-0.36,-2.35,0.4,0.69,0.21,1.13,0.09,0.02,0.6,N
3501,16.38,15.36,10.56,10.36,12.13,30.72,31.14,0.05,0.07,0.03,0.03,3.94,-3.14,-9.54,0.67,0.58,14.97,3.33,0.49,-0.28,-4.2,0.38,0.44,-0.99,1.6,0.35,0.02,0.63,N
3502,6.39,34.61,13.53,20,11.54,42.71,48.85,0.08,0.08,0.08,0.08,0.69,-2.54,-93.63,1.42,0.53,5.38,-9.27,0.35,1.16,4.92,0.4,0.44,-1.07,2.05,1.18,0.02,0.6,N
3503,14.51,13.73,6.64,6.88,14.68,49.09,48.87,0.07,0.04,0.04,0.06,1.95,-3.71,3.87,1.38,0.58,4.5,4.22,0.55,-1.58,4.54,0.38,0.49,-1.01,1.15,0.18,0.02,0.58,N
3504,5.31,28.78,8.48,6.15,8.68,41.45,37.81,0.03,0.12,0.07,0.11,5.84,-1.66,3.64,1.29,0.57,3.22,23.67,0.58,-1.81,7.56,0.42,0.61,-0.7,1.53,0.76,0.01,0.39,N
3505,3.89,10.68,11.52,12.36,10.11,33.37,67.46,0.03,0.03,0.06,0.06,1.52,-2.06,4.54,0.75,0.6,3.31,4.69,0.53,1.11,7.33,0.52,0.61,-0.66,1.73,0.3,0.01,0.52,N
